technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,definition,collection_layers,data_source_platform,contributors,data_component,type,description,source_data_element,relationship,target_data_element,references
T1552.007,True,Container API,['credential-access'],['Containers'],user account,"The representation of a user, device, service or application that access resources within a network environment. It has login capabilities and can be authenticated by an operating system, application or platform.","['host', 'cloud', 'container']","['Windows', 'Linux', 'macOS', 'IaaS', 'SaaS', 'Office 365', 'Azure AD', 'Containers', 'Google Workspace']","['ATT&CK', 'CTID']",user account authentication,activity,A user account authenticated onto a system.,cloud service,attempted to authenticate,user,['https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/security-principals']
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],image,Information about a virtual machine image.,['cloud'],['IaaS'],"['ATT&CK', 'CTID']",image creation,activity,An image was created.,user,created,image,"['https://docs.microsoft.com/en-us/azure/virtual-machines/windows/capture-image-resource', 'https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/AMIs.html']"
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted connection to,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted connection to,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted connection to,host,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted connection from,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted connection from,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted connection from,host,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,connected to,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,connected to,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,connected to,host,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,connected from,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,connected from,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,connected from,host,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",user,connected to,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",user,connected to,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",user,connected to,host,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",user,connected from,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",user,connected from,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",user,connected from,host,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted to bind on,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,bound to,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,permitted listener on,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,permitted listener on,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,permitted listener on,process,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,attempted to listen on,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",process,listened on,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,blocked port bind on,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,blocked port bind on,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,blocked port bind on,process,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,blocked connection to,ip,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,blocked connection to,port,
T1612,False,Build Image on Host,['defense-evasion'],['Containers'],network traffic,"Network traffic, either summarized (e.g., as netflow) or captured in some format (e.g., as PCAP). This may be captured at the endpoint or network level.","['host', 'network', 'cloud']","['Windows', 'Linux', 'macOS', 'IaaS']","['ATT&CK', 'CTID', 'ExtraHop']",network connection creation,activity,"Information about the creation of a network connection, either captured on the wire or on an endpoint.",host,blocked connection to,process,
