technique_id,x_mitre_is_subtechnique,technique,tactic,platform,data_source,data_component
T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],command,command execution
T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],process,os api execution
T1555.004,True,Windows Credential Manager,['credential-access'],['Windows'],file,file access
T1059.008,True,Network Device CLI,['execution'],['Network'],command,command execution
T1602.002,True,Network Device Configuration Dump,['collection'],['Network'],network traffic,network connection creation
T1602.002,True,Network Device Configuration Dump,['collection'],['Network'],network traffic,network traffic content
T1542.005,True,TFTP Boot,"['defense-evasion', 'persistence']",['Network'],command,command execution
T1542.005,True,TFTP Boot,"['defense-evasion', 'persistence']",['Network'],network traffic,network connection creation
T1542.005,True,TFTP Boot,"['defense-evasion', 'persistence']",['Network'],firmware,firmware modification
T1542.004,True,ROMMONkit,"['defense-evasion', 'persistence']",['Network'],firmware,firmware modification
T1602.001,True,SNMP (MIB Dump),['collection'],['Network'],network traffic,network connection creation
T1602.001,True,SNMP (MIB Dump),['collection'],['Network'],network traffic,network traffic content
T1602,False,Data from Configuration Repository,['collection'],['Network'],network traffic,network connection creation
T1602,False,Data from Configuration Repository,['collection'],['Network'],network traffic,network traffic content
T1601.002,True,Downgrade System Image,['defense-evasion'],['Network'],file,file modification
T1601.001,True,Patch System Image,['defense-evasion'],['Network'],file,file modification
T1601,False,Modify System Image,['defense-evasion'],['Network'],file,file modification
T1600.002,True,Disable Crypto Hardware,['defense-evasion'],['Network'],file,file modification
T1600.001,True,Reduce Key Space,['defense-evasion'],['Network'],file,file modification
T1600,False,Weaken Encryption,['defense-evasion'],['Network'],file,file modification
T1556.004,True,Network Device Authentication,"['credential-access', 'defense-evasion', 'persistence']",['Network'],file,file modification
T1599.001,True,Network Address Translation Traversal,['defense-evasion'],['Network'],network traffic,network traffic flow
T1599.001,True,Network Address Translation Traversal,['defense-evasion'],['Network'],network traffic,network traffic content
T1599,False,Network Boundary Bridging,['defense-evasion'],['Network'],network traffic,network traffic flow
T1599,False,Network Boundary Bridging,['defense-evasion'],['Network'],network traffic,network traffic content
T1020.001,True,Traffic Duplication,['exfiltration'],['Network'],network traffic,network connection creation
T1020.001,True,Traffic Duplication,['exfiltration'],['Network'],network traffic,network traffic flow
T1557.002,True,ARP Cache Poisoning,"['credential-access', 'collection']","['Linux', 'Windows', 'macOS']",network traffic,network traffic content
T1557.002,True,ARP Cache Poisoning,"['credential-access', 'collection']","['Linux', 'Windows', 'macOS']",network traffic,network traffic flow
T1588.006,True,Vulnerabilities,['resource-development'],['PRE'],nan,nan
T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],scheduled job,scheduled job creation
T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],command,command execution
T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],file,file modification
T1053.006,True,Systemd Timers,"['execution', 'persistence', 'privilege-escalation']",['Linux'],process,process creation
T1562.008,True,Disable Cloud Logs,['defense-evasion'],['IaaS'],cloud service,cloud service modification
T1562.008,True,Disable Cloud Logs,['defense-evasion'],['IaaS'],cloud service,cloud service disable
T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],file,file creation
T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],process,os api execution
T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],module,module load
T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],windows registry,windows registry key modification
T1547.012,True,Print Processors,"['persistence', 'privilege-escalation']",['Windows'],driver,driver load
T1598.003,True,Spearphishing Link,['reconnaissance'],['PRE'],application log,application log content
T1598.003,True,Spearphishing Link,['reconnaissance'],['PRE'],network traffic,network traffic content
T1598.003,True,Spearphishing Link,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1598.002,True,Spearphishing Attachment,['reconnaissance'],['PRE'],application log,application log content
T1598.002,True,Spearphishing Attachment,['reconnaissance'],['PRE'],network traffic,network traffic content
T1598.002,True,Spearphishing Attachment,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1598.001,True,Spearphishing Service,['reconnaissance'],['PRE'],application log,application log content
T1598.001,True,Spearphishing Service,['reconnaissance'],['PRE'],network traffic,network traffic content
T1598.001,True,Spearphishing Service,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1598,False,Phishing for Information,['reconnaissance'],['PRE'],application log,application log content
T1598,False,Phishing for Information,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1598,False,Phishing for Information,['reconnaissance'],['PRE'],network traffic,network traffic content
T1597.002,True,Purchase Technical Data,['reconnaissance'],['PRE'],nan,nan
T1597.001,True,Threat Intel Vendors,['reconnaissance'],['PRE'],nan,nan
T1597,False,Search Closed Sources,['reconnaissance'],['PRE'],nan,nan
T1596.005,True,Scan Databases,['reconnaissance'],['PRE'],nan,nan
T1596.004,True,CDNs,['reconnaissance'],['PRE'],nan,nan
T1596.003,True,Digital Certificates,['reconnaissance'],['PRE'],nan,nan
T1596.001,True,DNS/Passive DNS,['reconnaissance'],['PRE'],nan,nan
T1596.002,True,WHOIS,['reconnaissance'],['PRE'],nan,nan
T1596,False,Search Open Technical Databases,['reconnaissance'],['PRE'],nan,nan
T1595.002,True,Vulnerability Scanning,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1595.002,True,Vulnerability Scanning,['reconnaissance'],['PRE'],network traffic,network traffic content
T1595.001,True,Scanning IP Blocks,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1595,False,Active Scanning,['reconnaissance'],['PRE'],network traffic,network traffic flow
T1595,False,Active Scanning,['reconnaissance'],['PRE'],network traffic,network traffic content
T1594,False,Search Victim-Owned Websites,['reconnaissance'],['PRE'],application log,application log content
T1593.002,True,Search Engines,['reconnaissance'],['PRE'],nan,nan
T1593.001,True,Social Media,['reconnaissance'],['PRE'],nan,nan
T1593,False,Search Open Websites/Domains,['reconnaissance'],['PRE'],nan,nan
T1592.004,True,Client Configurations,['reconnaissance'],['PRE'],nan,nan
T1592.003,True,Firmware,['reconnaissance'],['PRE'],nan,nan
T1592.002,True,Software,['reconnaissance'],['PRE'],nan,nan
T1592.001,True,Hardware,['reconnaissance'],['PRE'],nan,nan
T1592,False,Gather Victim Host Information,['reconnaissance'],['PRE'],nan,nan
T1591.004,True,Identify Roles,['reconnaissance'],['PRE'],nan,nan
T1591.003,True,Identify Business Tempo,['reconnaissance'],['PRE'],nan,nan
T1591.001,True,Determine Physical Locations,['reconnaissance'],['PRE'],nan,nan
T1591.002,True,Business Relationships,['reconnaissance'],['PRE'],nan,nan
T1591,False,Gather Victim Org Information,['reconnaissance'],['PRE'],nan,nan
T1590.006,True,Network Security Appliances,['reconnaissance'],['PRE'],nan,nan
T1590.005,True,IP Addresses,['reconnaissance'],['PRE'],nan,nan
T1590.004,True,Network Topology,['reconnaissance'],['PRE'],nan,nan
T1590.003,True,Network Trust Dependencies,['reconnaissance'],['PRE'],nan,nan
T1590.002,True,DNS,['reconnaissance'],['PRE'],nan,nan
T1590.001,True,Domain Properties,['reconnaissance'],['PRE'],nan,nan
T1590,False,Gather Victim Network Information,['reconnaissance'],['PRE'],nan,nan
T1589.003,True,Employee Names,['reconnaissance'],['PRE'],nan,nan
T1589.002,True,Email Addresses,['reconnaissance'],['PRE'],nan,nan
T1589.001,True,Credentials,['reconnaissance'],['PRE'],nan,nan
T1589,False,Gather Victim Identity Information,['reconnaissance'],['PRE'],nan,nan
T1588.005,True,Exploits,['resource-development'],['PRE'],nan,nan
T1588.004,True,Digital Certificates,['resource-development'],['PRE'],nan,nan
T1588.003,True,Code Signing Certificates,['resource-development'],['PRE'],nan,nan
T1588.002,True,Tool,['resource-development'],['PRE'],nan,nan
T1588.001,True,Malware,['resource-development'],['PRE'],nan,nan
T1588,False,Obtain Capabilities,['resource-development'],['PRE'],nan,nan
T1587.004,True,Exploits,['resource-development'],['PRE'],nan,nan
T1587.003,True,Digital Certificates,['resource-development'],['PRE'],nan,nan
T1587.002,True,Code Signing Certificates,['resource-development'],['PRE'],nan,nan
T1587.001,True,Malware,['resource-development'],['PRE'],nan,nan
T1587,False,Develop Capabilities,['resource-development'],['PRE'],nan,nan
T1586.002,True,Email Accounts,['resource-development'],['PRE'],nan,nan
T1586.001,True,Social Media Accounts,['resource-development'],['PRE'],nan,nan
T1586,False,Compromise Accounts,['resource-development'],['PRE'],nan,nan
T1585.002,True,Email Accounts,['resource-development'],['PRE'],nan,nan
T1585.001,True,Social Media Accounts,['resource-development'],['PRE'],nan,nan
T1585,False,Establish Accounts,['resource-development'],['PRE'],nan,nan
T1584.006,True,Web Services,['resource-development'],['PRE'],nan,nan
T1584.005,True,Botnet,['resource-development'],['PRE'],nan,nan
T1584.004,True,Server,['resource-development'],['PRE'],nan,nan
T1584.003,True,Virtual Private Server,['resource-development'],['PRE'],nan,nan
T1584.002,True,DNS Server,['resource-development'],['PRE'],nan,nan
T1584.001,True,Domains,['resource-development'],['PRE'],nan,nan
T1583.006,True,Web Services,['resource-development'],['PRE'],nan,nan
T1583.005,True,Botnet,['resource-development'],['PRE'],nan,nan
T1583.004,True,Server,['resource-development'],['PRE'],nan,nan
T1583.003,True,Virtual Private Server,['resource-development'],['PRE'],nan,nan
T1583.002,True,DNS Server,['resource-development'],['PRE'],nan,nan
T1584,False,Compromise Infrastructure,['resource-development'],['PRE'],nan,nan
T1583.001,True,Domains,['resource-development'],['PRE'],nan,nan
T1583,False,Acquire Infrastructure,['resource-development'],['PRE'],nan,nan
T1564.007,True,VBA Stomping,['defense-evasion'],"['Linux', 'Windows', 'macOS']",script,script execution
T1564.007,True,VBA Stomping,['defense-evasion'],"['Linux', 'Windows', 'macOS']",file,file content
T1558.004,True,AS-REP Roasting,['credential-access'],['Windows'],active directory,active directory credential request
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],instance,instance metadata
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],instance,instance enumeration
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],snapshot,snapshot metadata
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],snapshot,snapshot enumeration
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],cloud storage,cloud storage metadata
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],cloud storage,cloud storage enumeration
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],volume,volume metadata
T1580,False,Cloud Infrastructure Discovery,['discovery'],['IaaS'],volume,volume enumeration
T1218.012,True,Verclsid,['defense-evasion'],['Windows'],process,process creation
T1218.012,True,Verclsid,['defense-evasion'],['Windows'],command,command execution
T1205.001,True,Port Knocking,"['defense-evasion', 'persistence', 'command-and-control']","['Linux', 'macOS', 'Windows', 'Network']",network traffic,network connection creation
T1205.001,True,Port Knocking,"['defense-evasion', 'persistence', 'command-and-control']","['Linux', 'macOS', 'Windows', 'Network']",network traffic,network traffic flow
T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",process,process creation
T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",file,file creation
T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",command,command execution
T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",service,service creation
T1564.006,True,Run Virtual Instance,['defense-evasion'],"['Linux', 'macOS', 'Windows']",windows registry,windows registry key modification
T1564.005,True,Hidden File System,['defense-evasion'],"['Linux', 'macOS', 'Windows']",windows registry,windows registry key modification
T1564.005,True,Hidden File System,['defense-evasion'],"['Linux', 'macOS', 'Windows']",file,file modification
T1564.005,True,Hidden File System,['defense-evasion'],"['Linux', 'macOS', 'Windows']",firmware,firmware modification
T1556.003,True,Pluggable Authentication Modules,"['credential-access', 'defense-evasion', 'persistence']","['Linux', 'macOS']",file,file modification
T1556.003,True,Pluggable Authentication Modules,"['credential-access', 'defense-evasion', 'persistence']","['Linux', 'macOS']",logon session,logon session creation
T1574.012,True,COR_PROFILER,"['persistence', 'privilege-escalation', 'defense-evasion']",['Windows'],windows registry,windows registry key modification
T1574.012,True,COR_PROFILER,"['persistence', 'privilege-escalation', 'defense-evasion']",['Windows'],process,process creation
T1574.012,True,COR_PROFILER,"['persistence', 'privilege-escalation', 'defense-evasion']",['Windows'],module,module load
T1574.012,True,COR_PROFILER,"['persistence', 'privilege-escalation', 'defense-evasion']",['Windows'],command,command execution
T1562.007,True,Disable or Modify Cloud Firewall,['defense-evasion'],['IaaS'],firewall,firewall rule modification
T1562.007,True,Disable or Modify Cloud Firewall,['defense-evasion'],['IaaS'],firewall,firewall disable
T1098.004,True,SSH Authorized Keys,['persistence'],"['Linux', 'macOS']",process,process creation
T1098.004,True,SSH Authorized Keys,['persistence'],"['Linux', 'macOS']",command,command execution
T1098.004,True,SSH Authorized Keys,['persistence'],"['Linux', 'macOS']",file,file modification
T1480.001,True,Environmental Keying,['defense-evasion'],"['Linux', 'macOS', 'Windows']",process,process creation
T1480.001,True,Environmental Keying,['defense-evasion'],"['Linux', 'macOS', 'Windows']",command,command execution
T1059.007,True,JavaScript,['execution'],"['Windows', 'macOS', 'Linux']",command,command execution
T1059.007,True,JavaScript,['execution'],"['Windows', 'macOS', 'Linux']",process,process creation
T1059.007,True,JavaScript,['execution'],"['Windows', 'macOS', 'Linux']",module,module load
T1059.007,True,JavaScript,['execution'],"['Windows', 'macOS', 'Linux']",script,script execution
T1578.004,True,Revert Cloud Instance,['defense-evasion'],['IaaS'],instance,instance modification
T1578.004,True,Revert Cloud Instance,['defense-evasion'],['IaaS'],instance,instance start
T1578.004,True,Revert Cloud Instance,['defense-evasion'],['IaaS'],instance,instance stop
T1578.003,True,Delete Cloud Instance,['defense-evasion'],['IaaS'],instance,instance deletion
T1578.001,True,Create Snapshot,['defense-evasion'],['IaaS'],snapshot,snapshot creation
T1578.002,True,Create Cloud Instance,['defense-evasion'],['IaaS'],instance,instance creation
T1127.001,True,MSBuild,['defense-evasion'],['Windows'],process,process creation
T1127.001,True,MSBuild,['defense-evasion'],['Windows'],command,command execution
T1027.005,True,Indicator Removal from Tools,['defense-evasion'],"['Linux', 'macOS', 'Windows']",nan,nan
T1562.006,True,Indicator Blocking,['defense-evasion'],"['Windows', 'macOS', 'Linux']",windows registry,windows registry key modification
T1562.006,True,Indicator Blocking,['defense-evasion'],"['Windows', 'macOS', 'Linux']",sensor health,host status
T1562.006,True,Indicator Blocking,['defense-evasion'],"['Windows', 'macOS', 'Linux']",command,command execution
T1573.002,True,Asymmetric Cryptography,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1573.001,True,Symmetric Cryptography,['command-and-control'],"['Linux', 'Windows', 'macOS']",network traffic,network traffic content
T1573,False,Encrypted Channel,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1027.004,True,Compile After Delivery,['defense-evasion'],"['Linux', 'macOS', 'Windows']",file,file metadata
T1027.004,True,Compile After Delivery,['defense-evasion'],"['Linux', 'macOS', 'Windows']",file,file creation
T1027.004,True,Compile After Delivery,['defense-evasion'],"['Linux', 'macOS', 'Windows']",process,process creation
T1027.004,True,Compile After Delivery,['defense-evasion'],"['Linux', 'macOS', 'Windows']",command,command execution
T1574.004,True,Dylib Hijacking,"['persistence', 'privilege-escalation', 'defense-evasion']",['macOS'],file,file creation
T1574.004,True,Dylib Hijacking,"['persistence', 'privilege-escalation', 'defense-evasion']",['macOS'],file,file modification
T1574.004,True,Dylib Hijacking,"['persistence', 'privilege-escalation', 'defense-evasion']",['macOS'],module,module load
T1546.015,True,Component Object Model Hijacking,"['privilege-escalation', 'persistence']",['Windows'],process,process creation
T1546.015,True,Component Object Model Hijacking,"['privilege-escalation', 'persistence']",['Windows'],windows registry,windows registry key modification
T1546.015,True,Component Object Model Hijacking,"['privilege-escalation', 'persistence']",['Windows'],command,command execution
T1546.015,True,Component Object Model Hijacking,"['privilege-escalation', 'persistence']",['Windows'],module,module load
T1071.004,True,DNS,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1071.004,True,DNS,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1071.003,True,Mail Protocols,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1071.003,True,Mail Protocols,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1071.002,True,File Transfer Protocols,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1071.002,True,File Transfer Protocols,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1071.001,True,Web Protocols,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1071.001,True,Web Protocols,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1572,False,Protocol Tunneling,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1572,False,Protocol Tunneling,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network connection creation
T1572,False,Protocol Tunneling,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1048.003,True,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network connection creation
T1048.003,True,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1048.003,True,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1048.003,True,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",file,file access
T1048.003,True,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",command,command execution
T1048.002,True,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network connection creation
T1048.002,True,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1048.002,True,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1048.002,True,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",file,file access
T1048.002,True,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",command,command execution
T1048.001,True,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network connection creation
T1048.001,True,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1048.001,True,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1048.001,True,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",file,file access
T1048.001,True,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,['exfiltration'],"['Linux', 'macOS', 'Windows']",command,command execution
T1001.003,True,Protocol Impersonation,['command-and-control'],"['Linux', 'Windows', 'macOS']",network traffic,network traffic content
T1001.002,True,Steganography,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1001.001,True,Junk Data,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1132.002,True,Non-Standard Encoding,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1132.001,True,Standard Encoding,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1090.004,True,Domain Fronting,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic content
T1090.003,True,Multi-hop Proxy,['command-and-control'],"['Linux', 'macOS', 'Windows', 'Network']",network traffic,network traffic flow
T1090.003,True,Multi-hop Proxy,['command-and-control'],"['Linux', 'macOS', 'Windows', 'Network']",network traffic,network connection creation
T1090.003,True,Multi-hop Proxy,['command-and-control'],"['Linux', 'macOS', 'Windows', 'Network']",network traffic,network traffic content
T1090.002,True,External Proxy,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network traffic flow
T1090.002,True,External Proxy,['command-and-control'],"['Linux', 'macOS', 'Windows']",network traffic,network connection creation
